-=== SIMULATION SUMMARY ===-
Game Name;test1
Spins;10000000
Total Bet;2000000000.0000
Total Win;1927907800.0000
RTP %;96.395390
Hit Rate %;18.155790
Hit Frequency;1 : 5.5079
Max Win;400000.0000
Max Win X;2000.0000

-=== REEL STRIP WEIGHTS & DISTRIBUTION ===-
Symbol;Reel 1 Count;Reel 1 % (Len: 91);Reel 2 Count;Reel 2 % (Len: 59);Reel 3 Count;Reel 3 % (Len: 95);Reel 4 Count;Reel 4 % (Len: 58);Reel 5 Count;Reel 5 % (Len: 46);Total Count;Avg %
7;6;6.5934 %;4;6.7797 %;6;6.3158 %;5;8.6207 %;6;13.0435 %;27;7.7364 %
C;23;25.2747 %;8;13.5593 %;28;29.4737 %;16;27.5862 %;11;23.9130 %;86;24.6418 %
L;12;13.1868 %;7;11.8644 %;2;2.1053 %;5;8.6207 %;2;4.3478 %;28;8.0229 %
O;9;9.8901 %;12;20.3390 %;7;7.3684 %;4;6.8966 %;13;28.2609 %;45;12.8940 %
S;9;9.8901 %;10;16.9492 %;18;18.9474 %;9;15.5172 %;2;4.3478 %;48;13.7536 %
SCATTER;3;3.2967 %;3;5.0847 %;4;4.2105 %;2;3.4483 %;2;4.3478 %;14;4.0115 %
V;8;8.7912 %;8;13.5593 %;21;22.1053 %;7;12.0690 %;4;8.6957 %;48;13.7536 %
W;21;23.0769 %;7;11.8644 %;9;9.4737 %;10;17.2414 %;6;13.0435 %;53;15.1862 %
TOTAL LENGTH;91;100.0000 %;59;100.0000 %;95;100.0000 %;58;100.0000 %;46;100.0000 %;349;100.0000 %

-=== REEL STRIP ORDER (SEQUENCE) ===-
Position;Reel 1;Reel 2;Reel 3;Reel 4;Reel 5
1;W;7;W;W;L
2;W;O;W;O;L
3;W;O;SCATTER;L;O
4;W;O;L;C;O
5;C;L;C;C;7
6;C;O;V;C;O
7;C;7;7;W;SCATTER
8;C;W;S;S;7
9;7;W;7;W;C
10;W;W;7;S;C
11;V;SCATTER;7;W;C
12;L;O;SCATTER;S;C
13;L;L;7;SCATTER;O
14;O;L;S;C;O
15;S;O;W;W;C
16;S;O;S;O;C
17;S;O;O;L;SCATTER
18;C;C;S;L;O
19;C;7;C;S;7
20;C;V;C;C;7
21;S;S;7;V;W
22;W;C;SCATTER;7;O
23;W;S;L;7;O
24;O;7;C;7;W
25;W;L;V;SCATTER;W
26;W;V;V;L;7
27;V;V;S;L;O
28;W;L;S;S;W
29;C;O;SCATTER;7;O
30;L;SCATTER;V;V;O
31;O;V;S;S;V
32;W;C;O;O;S
33;C;O;V;V;O
34;C;L;C;C;V
35;O;V;W;W;C
36;W;C;C;C;W
37;L;V;C;C;C
38;C;W;C;C;C
39;C;S;V;V;C
40;C;C;S;S;V
41;L;C;V;C;S
42;L;C;S;C;W
43;C;S;O;C;V
44;C;O;V;W;O
45;SCATTER;W;C;W;7
46;O;W;W;W;C
47;S;S;C;V;
48;V;S;C;S;
49;V;S;C;O;
50;W;C;V;V;
51;C;S;S;C;
52;C;SCATTER;V;W;
53;L;W;S;C;
54;L;S;O;C;
55;L;L;V;C;
56;7;S;C;V;
57;C;V;W;S;
58;C;O;C;7;
59;SCATTER;V;C;;
60;S;;C;;
61;C;;V;;
62;L;;S;;
63;SCATTER;;V;;
64;V;;S;;
65;C;;O;;
66;W;;V;;
67;W;;C;;
68;L;;W;;
69;L;;C;;
70;O;;C;;
71;S;;C;;
72;C;;V;;
73;7;;S;;
74;7;;V;;
75;7;;S;;
76;V;;O;;
77;S;;V;;
78;W;;C;;
79;V;;W;;
80;O;;C;;
81;7;;C;;
82;O;;C;;
83;W;;V;;
84;V;;S;;
85;C;;V;;
86;W;;S;;
87;W;;O;;
88;W;;V;;
89;S;;C;;
90;O;;W;;
91;W;;C;;
92;;;C;;
93;;;C;;
94;;;V;;
95;;;S;;

-=== LINE COMBINATIONS ===-
Symbol;Count;Hits;Hit %;Total Win;RTP Contribution %
7;3;13011;0.130110;52044000.0000;2.602200
7;4;1105;0.011050;44200000.0000;2.210000
7;5;156;0.001560;31200000.0000;1.560000
C;2;1207112;12.071120;120711200.0000;6.035560
C;3;364841;3.648410;72968200.0000;3.648410
C;4;105771;1.057710;211542000.0000;10.577100
C;5;33203;0.332030;265624000.0000;13.281200
L;3;15073;0.150730;12058400.0000;0.602920
L;4;1295;0.012950;2590000.0000;0.129500
L;5;60;0.000600;480000.0000;0.024000
O;3;68771;0.687710;55016800.0000;2.750840
O;4;3678;0.036780;7356000.0000;0.367800
O;5;1447;0.014470;11576000.0000;0.578800
S;3;133846;1.338460;107076800.0000;5.353840
S;4;23574;0.235740;47148000.0000;2.357400
S;5;1102;0.011020;8816000.0000;0.440800
V;3;115577;1.155770;231154000.0000;11.557700
V;4;14656;0.146560;117248000.0000;5.862400
V;5;1327;0.013270;26540000.0000;1.327000
W;3;106917;1.069170;213834000.0000;10.691700
W;4;19211;0.192110;153688000.0000;7.684400
W;5;2893;0.028930;57860000.0000;2.893000

-=== SCATTERS ===-
Scatter;Count on Screen;Hits;Frequency %;Total Win;RTP Contribution %
SCATTER;x3;138806;1.388060;55522400.0000;2.776120
SCATTER;x4;9497;0.094970;18994000.0000;0.949700
SCATTER;x5;266;0.002660;2660000.0000;0.133000

-=== SYMBOLS SIMULATION HITS ===-
Symbol;Generated Cells;Frequency %;Total Win;RTP Contribution %
7;12407864;8.271909;127444000.0000;6.372200
C;35945850;23.963900;670845400.0000;33.542270
L;12041637;8.027758;15128400.0000;0.756420
O;21826087;14.550725;73948800.0000;3.697440
S;19689326;13.126217;163040800.0000;8.152040
SCATTER;6117904;4.078603;77176400.0000;3.858820
V;19569680;13.046453;374942000.0000;18.747100
W;22401652;14.934435;425382000.0000;21.269100

-=== WIN DISTRIBUTION ===-
Bucket;Spins;Frequency %
0x;8184421;81.844210
0-1x;572165;5.721650
1-2x;404792;4.047920
2-5x;402801;4.028010
5-10x;11471;0.114710
10-20x;321388;3.213880
20-50x;89162;0.891620
